Date,Open,High,Low,Close,Adj Close,Volume
2004-08-16,2.490664,2.716817,2.390042,2.697639,2.697639,1356284704
2004-08-23,2.758411,2.826406,2.579581,2.643840,2.643840,1125298143
2004-08-30,2.622171,2.627402,2.464263,2.490913,2.490913,794237881
2004-09-06,2.515820,2.654052,2.480951,2.623417,2.623417,474118476
2004-09-13,2.655795,2.926282,2.651561,2.926282,2.926282,967075300
2004-09-20,2.912832,3.090914,2.908349,2.984563,2.984563,866054062
2004-09-27,2.977838,3.362895,2.934003,3.302123,3.302123,1675817921
2004-10-04,3.368624,3.483941,3.293655,3.430392,3.430392,1337566807
2004-10-11,3.412210,3.623917,3.322546,3.589296,3.589296,1317046178
2004-10-18,3.566631,4.487430,3.476967,4.294653,4.294653,3169567955
2004-10-25,4.393532,4.980083,4.297641,4.748203,4.748203,4193142236
2004-11-01,4.820681,5.021179,4.198015,4.217940,4.217940,2878854358
2004-11-08,4.257293,4.727281,4.116321,4.533009,4.533009,2594954205
2004-11-15,4.494404,4.690419,4.127778,4.219185,4.219185,3065475247
2004-11-22,4.096396,4.483943,4.017691,4.468003,4.468003,1868682124
2004-11-29,4.492162,4.557916,4.421178,4.493159,4.493159,1540183428
2004-12-06,4.461527,4.500631,4.196022,4.275225,4.275225,1310409395
2004-12-13,4.288177,4.500381,4.220431,4.485188,4.485188,1739977509
2004-12-20,4.533009,4.697393,4.529771,4.679958,4.679958,918325255
2004-12-27,4.711092,4.978340,4.709846,4.801752,4.801752,1064005261
2005-01-03,4.916571,5.071989,4.675475,4.828153,4.828153,2324146943
2005-01-10,4.844342,4.981578,4.744716,4.980582,4.980582,1572504121
2005-01-17,5.005488,5.113334,4.685438,4.689423,4.689423,1714012549
2005-01-24,4.699635,4.849324,4.390792,4.740731,4.740731,2241385892
2005-01-31,4.824168,5.399760,4.747954,5.089922,5.089922,3575046111
2005-02-07,5.112338,5.140731,4.613956,4.667505,4.667505,2959475417
2005-02-14,4.554180,4.977344,4.508103,4.930270,4.930270,4006063638
2005-02-21,4.894156,4.953931,4.538738,4.629398,4.629398,2604024073
2005-02-28,4.632636,4.729024,4.533009,4.630145,4.630145,1557728948
2005-03-07,4.676970,4.728526,4.412212,4.428401,4.428401,1889564103
2005-03-14,4.441602,4.493159,4.298140,4.484192,4.484192,1767624750
2005-03-21,4.465014,4.537243,4.414703,4.464516,4.464516,869872320
2005-03-28,4.525039,4.602748,4.424416,4.484192,4.484192,1381065241
2005-04-04,4.481951,4.859286,4.479211,4.783321,4.783321,1480508587
2005-04-11,4.809224,4.851814,4.599261,4.607729,4.607729,1486189801
2005-04-18,4.597268,5.579088,4.570120,5.375103,5.375103,3267754608
2005-04-25,5.425165,5.597519,5.398266,5.479462,5.479462,2618971893
2005-05-02,5.530520,5.725539,5.484692,5.679213,5.679213,2164265907
2005-05-09,5.678715,5.784070,5.597021,5.709599,5.709599,1594959977
2005-05-16,5.720558,6.019189,5.692912,6.017694,6.017694,1753841279
2005-05-23,6.056300,6.626413,6.045092,6.625167,6.625167,3782926388
2005-05-30,6.710597,7.294907,6.709103,6.980336,6.980336,3781517125
2005-06-06,7.033387,7.461781,6.924047,7.036127,7.036127,4082745988
2005-06-13,6.969377,7.078219,6.660784,6.981332,6.981332,2676996570
2005-06-20,6.876475,7.422180,6.767882,7.403500,7.403500,3150107284
2005-06-27,7.444596,7.702380,7.203500,7.254060,7.254060,3190317439
2005-07-04,7.275231,7.412217,7.185816,7.378095,7.378095,1350001241
2005-07-11,7.382329,7.640113,7.246090,7.501632,7.501632,1798684735
2005-07-18,7.471993,7.915331,7.380586,7.531769,7.531769,3064074014
2005-07-25,7.531520,7.553936,7.147958,7.167136,7.167136,1645444498
2005-08-01,7.176102,7.465019,7.175604,7.281457,7.281457,1206882801
2005-08-08,7.312591,7.363649,6.989302,7.215953,7.215953,1254319942
2005-08-15,7.217945,7.291918,6.849327,6.973860,6.973860,1468800867
2005-08-22,7.004744,7.098892,6.808231,7.063026,7.063026,1178789894
2005-08-29,7.029651,7.222678,7.029651,7.184321,7.184321,879508304
2005-09-05,7.198020,7.454060,7.105367,7.449328,7.449328,912029746
2005-09-12,7.515580,7.858793,7.419938,7.476974,7.476974,2208575370
2005-09-19,7.496900,7.950699,7.489677,7.854559,7.854559,1875917142
2005-09-26,7.957673,7.993787,7.611470,7.881956,7.881956,1587126727
2005-10-03,7.811471,8.002007,7.671246,7.795530,7.795530,1662090660
2005-10-10,7.803501,7.841110,7.239863,7.375853,7.375853,1706685186
2005-10-17,7.409727,8.628409,7.336501,8.465768,8.465768,2347136792
2005-10-24,8.552194,8.940240,8.522804,8.920813,8.920813,1455651766
2005-10-31,8.972369,9.758174,8.954188,9.724301,9.724301,2310134617
2005-11-07,9.840615,9.899644,9.400515,9.723554,9.723554,1772559176
2005-11-14,9.766393,10.074737,9.737252,9.967888,9.967888,1660833967
2005-11-21,9.941985,10.678724,9.800515,10.675486,10.675486,1399473984
2005-11-28,10.705374,10.740741,9.852072,10.403505,10.403505,2625371790
2005-12-05,10.386070,10.398524,9.938000,10.191799,10.191799,2153401337
2005-12-12,10.327042,10.772123,10.210479,10.713593,10.713593,1771438994
2005-12-19,10.764651,11.113594,10.463530,10.733020,10.733020,2223707877
2005-12-26,10.756183,10.756183,10.304875,10.332770,10.332770,1138395051
2006-01-02,10.523555,11.718576,10.416457,11.598028,11.598028,2287453921
2006-01-09,11.616708,11.833396,11.480468,11.612723,11.612723,1954430329
2006-01-16,11.533270,11.703632,9.831649,9.949208,9.949208,3389055576
2006-01-23,10.146469,11.313345,10.105373,10.796781,10.796781,3144707119
2006-01-30,10.690679,10.948961,9.279468,9.503130,9.503130,3527849868
2006-02-06,9.596779,9.711100,8.795532,9.031398,9.031398,2951445432
2006-02-13,8.633639,9.268758,8.414211,9.184325,9.184325,3330617353
2006-02-20,9.126791,9.495409,9.062531,9.399767,9.399767,1373051315
2006-02-27,9.496156,9.901387,8.431148,9.419195,9.419195,3693926039
2006-03-06,9.487190,9.549207,8.257798,8.405992,8.405992,2581644504
2006-03-13,8.491422,8.776354,8.284448,8.463028,8.463028,2546722094
2006-03-20,8.526540,9.217700,8.405992,9.110850,9.110850,2025563960
2006-03-27,9.142980,9.937751,9.090925,9.713591,9.713591,3462132464
2006-04-03,9.701885,10.325547,9.662034,10.116082,10.116082,2122859285
2006-04-10,10.138997,10.438374,9.975111,10.016456,10.016456,1324835264
2006-04-17,10.048585,11.225922,9.983579,10.886694,10.886694,2328760169
2006-04-24,10.943979,11.075984,10.368636,10.409483,10.409483,1663909451
2006-05-01,10.422683,10.446843,9.673740,9.820690,9.820690,1696523239
2006-05-08,9.840864,10.254314,9.303877,9.318323,9.318323,1582983254
2006-05-15,9.363155,9.509606,8.980589,9.215956,9.215956,1724768714
2006-05-22,9.161909,9.610976,9.097152,9.498149,9.498149,1565959684
2006-05-29,9.421685,9.640864,9.135259,9.450577,9.450577,1002210503
