Date,Open,High,Low,Close,Adj Close,Volume
1973-02-19,1.210938,1.210938,1.164063,1.164063,1.080587,36800
1973-02-26,1.140625,1.140625,0.960938,1.078125,1.000812,420800
1973-03-05,1.070313,1.101563,1.070313,1.093750,1.015316,32000
1973-03-12,1.085938,1.085938,1.062500,1.062500,0.986308,11200
1973-03-19,1.062500,1.078125,0.937500,0.937500,0.870271,880000
1973-03-26,0.914063,0.937500,0.914063,0.929688,0.863020,257600
1973-04-02,0.828125,0.937500,0.828125,0.906250,0.841262,664000
1973-04-09,0.914063,0.937500,0.914063,0.937500,0.870271,94400
1973-04-16,0.929688,0.945313,0.929688,0.929688,0.863020,30400
1973-04-23,0.968750,1.007813,0.968750,1.000000,0.928289,164800
1973-04-30,1.007813,1.140625,1.007813,1.140625,1.058830,118400
1973-05-07,0.000000,1.156250,1.062500,1.078125,1.000812,115200
1973-05-14,1.078125,1.078125,0.992188,0.992188,0.921038,48000
1973-05-21,0.000000,1.023438,0.945313,1.023438,0.950046,54400
1973-05-28,0.000000,1.039063,0.906250,0.906250,0.841262,48000
1973-06-04,0.937500,0.953125,0.914063,0.937500,0.870271,20800
1973-06-11,0.000000,0.960938,0.921875,0.945313,0.877524,22400
1973-06-18,0.914063,0.937500,0.914063,0.929688,0.863020,17600
1973-06-25,0.937500,0.937500,0.921875,0.937500,0.870271,72000
1973-07-02,0.000000,0.945313,0.929688,0.937500,0.870271,28800
1973-07-09,0.000000,0.945313,0.914063,0.929688,0.863020,52800
1973-07-16,0.929688,1.093750,0.929688,1.039063,0.964551,84800
1973-07-23,0.000000,1.148438,1.070313,1.140625,1.058830,204800
1973-07-30,1.109375,1.140625,1.093750,1.093750,1.015316,44800
1973-08-06,0.000000,1.179688,1.093750,1.179688,1.095092,158400
1973-08-13,0.000000,1.179688,1.062500,1.062500,0.986308,84800
1973-08-20,0.000000,1.062500,1.015625,1.062500,0.986308,163200
1973-08-27,0.000000,1.218750,1.015625,1.218750,1.131353,286400
1973-09-03,0.000000,1.281250,1.171875,1.171875,1.087839,100800
1973-09-10,0.000000,1.273438,1.132813,1.273438,1.182119,251200
1973-09-17,0.000000,1.343750,1.250000,1.335938,1.240137,564800
1973-09-24,0.000000,1.523438,1.281250,1.515625,1.406939,467200
1973-10-01,0.000000,1.703125,1.507813,1.632813,1.515723,819200
1973-10-08,0.000000,1.687500,1.531250,1.570313,1.457704,358400
1973-10-15,0.000000,1.585938,1.492188,1.531250,1.421443,208000
1973-10-22,0.000000,1.671875,1.484375,1.648438,1.530227,222400
1973-10-29,0.000000,1.656250,1.500000,1.523438,1.414191,99200
1973-11-05,0.000000,1.515625,1.289063,1.437500,1.334416,230400
1973-11-12,0.000000,1.429688,1.328125,1.406250,1.305407,280000
1973-11-19,0.000000,1.390625,1.218750,1.265625,1.174866,283200
1973-11-26,0.000000,1.265625,1.101563,1.125000,1.044325,219200
1973-12-03,0.000000,1.117188,0.984375,1.062500,0.986308,244800
1973-12-10,0.000000,1.062500,0.750000,0.859375,0.797749,545600
1973-12-17,0.000000,1.156250,0.828125,1.093750,1.015316,462400
1973-12-24,0.000000,1.234375,1.039063,1.218750,1.131353,102400
1973-12-31,0.000000,1.250000,1.062500,1.078125,1.000812,152000
1974-01-07,0.000000,1.125000,1.031250,1.031250,0.957298,137600
1974-01-14,0.000000,1.171875,1.046875,1.140625,1.058830,96000
1974-01-21,0.000000,1.250000,1.093750,1.226563,1.138606,99200
1974-01-28,0.000000,1.226563,1.117188,1.148438,1.066083,81600
1974-02-04,1.062500,1.132813,1.062500,1.125000,1.044325,68800
1974-02-11,1.125000,1.156250,1.101563,1.132813,1.051578,68800
1974-02-18,0.000000,1.187500,1.132813,1.187500,1.102344,40000
1974-02-25,1.187500,1.375000,1.179688,1.304688,1.211128,227200
1974-03-04,0.000000,1.390625,1.250000,1.312500,1.218380,313600
1974-03-11,0.000000,1.359375,1.250000,1.257813,1.167615,240000
1974-03-18,0.000000,1.320313,1.257813,1.273438,1.182119,92800
1974-03-25,0.000000,1.265625,1.187500,1.187500,1.102344,64000
1974-04-01,0.000000,1.195313,1.140625,1.195313,1.109597,88000
1974-04-08,1.179688,1.179688,1.156250,1.156250,1.073335,17600
1974-04-15,0.000000,1.203125,1.140625,1.171875,1.087839,35200
1974-04-22,0.000000,1.218750,1.101563,1.101563,1.022569,76800
1974-04-29,0.000000,1.343750,1.117188,1.289063,1.196623,129600
1974-05-06,0.000000,1.359375,1.289063,1.328125,1.232884,123200
1974-05-13,0.000000,1.375000,1.296875,1.367188,1.269146,99200
1974-05-20,0.000000,1.398438,1.351563,1.382813,1.283651,131200
1974-05-27,0.000000,1.414063,1.359375,1.375000,1.276398,72000
1974-06-03,1.375000,1.398438,1.312500,1.328125,1.232884,195200
1974-06-10,0.000000,1.328125,1.250000,1.312500,1.218380,144000
1974-06-17,0.000000,1.437500,1.328125,1.343750,1.247388,118400
1974-06-24,0.000000,1.359375,1.312500,1.312500,1.218380,92800
1974-07-01,0.000000,1.296875,1.148438,1.148438,1.066083,57600
1974-07-08,0.000000,1.140625,1.000000,1.125000,1.044325,131200
1974-07-15,0.000000,1.140625,1.023438,1.039063,0.964551,57600
1974-07-22,0.000000,1.046875,1.015625,1.015625,0.942794,59200
1974-07-29,1.015625,1.031250,0.968750,1.000000,0.928289,52800
1974-08-05,0.000000,1.078125,0.984375,1.078125,1.000812,91200
1974-08-12,0.000000,1.093750,1.023438,1.023438,0.950046,52800
1974-08-19,0.992188,1.007813,0.914063,0.945313,0.877524,70400
1974-08-26,0.000000,0.960938,0.812500,0.960938,0.892029,110400
1974-09-02,0.000000,0.984375,0.859375,0.898438,0.834010,84800
1974-09-09,0.000000,0.890625,0.828125,0.828125,0.768739,25600
1974-09-16,0.000000,0.804688,0.562500,0.687500,0.638199,256000
1974-09-23,0.000000,0.765625,0.671875,0.671875,0.623694,73600
1974-09-30,0.671875,0.671875,0.562500,0.578125,0.536667,97600
1974-10-07,0.593750,0.609375,0.585938,0.585938,0.543920,56000
1974-10-14,0.000000,0.687500,0.585938,0.625000,0.580181,89600
1974-10-21,0.000000,0.656250,0.617188,0.632813,0.587433,48000
1974-10-28,0.632813,0.812500,0.632813,0.687500,0.638199,147200
1974-11-04,0.000000,0.671875,0.625000,0.640625,0.594685,88000
1974-11-11,0.000000,0.703125,0.562500,0.562500,0.522163,75200
1974-11-18,0.000000,0.554688,0.484375,0.484375,0.449640,80000
1974-11-25,0.484375,0.492188,0.437500,0.437500,0.406127,148800
1974-12-02,0.000000,0.460938,0.375000,0.375000,0.348109,105600
1974-12-09,0.000000,0.398438,0.359375,0.375000,0.348109,192000
1974-12-16,0.000000,0.375000,0.335938,0.335938,0.311848,99200
1974-12-23,0.000000,0.359375,0.312500,0.359375,0.333604,171200
1974-12-30,0.000000,0.421875,0.320313,0.390625,0.362613,209600
1975-01-06,0.000000,0.390625,0.359375,0.390625,0.362613,81600
1975-01-13,0.000000,0.453125,0.406250,0.406250,0.377118,121600
1975-01-20,0.000000,0.421875,0.375000,0.421875,0.391622,59200
1975-01-27,0.000000,0.632813,0.437500,0.632813,0.587433,216000
1975-02-03,0.000000,0.679688,0.562500,0.570313,0.529416,243200
1975-02-10,0.000000,0.601563,0.554688,0.593750,0.551172,86400
1975-02-17,0.000000,0.593750,0.515625,0.531250,0.493154,164800
1975-02-24,0.531250,0.546875,0.531250,0.539063,0.500406,28800
1975-03-03,0.000000,0.726563,0.554688,0.687500,0.638199,584000
1975-03-10,0.000000,0.820313,0.710938,0.812500,0.754235,676800
1975-03-17,0.000000,0.960938,0.828125,0.859375,0.797749,372800
1975-03-24,0.000000,0.843750,0.765625,0.804688,0.746983,188800
1975-03-31,0.000000,0.851563,0.796875,0.804688,0.746983,116800
1975-04-07,0.851563,0.851563,0.765625,0.851563,0.790497,118400
1975-04-14,0.000000,0.953125,0.875000,0.914063,0.848515,225600
1975-04-21,0.000000,0.984375,0.921875,0.945313,0.877524,140800
1975-04-28,0.906250,0.929688,0.906250,0.906250,0.841262,80000
1975-05-05,0.890625,0.906250,0.875000,0.890625,0.826758,228800
1975-05-12,0.000000,0.953125,0.906250,0.953125,0.884776,158400
1975-05-19,0.000000,0.953125,0.921875,0.921875,0.855767,142400
1975-05-26,0.000000,0.921875,0.890625,0.898438,0.834010,80000
1975-06-02,0.000000,0.914063,0.851563,0.859375,0.797749,64000
1975-06-09,0.000000,0.890625,0.812500,0.890625,0.826758,219200
1975-06-16,0.000000,0.890625,0.859375,0.875000,0.812253,43200
1975-06-23,0.000000,1.000000,0.890625,0.906250,0.841262,228800
1975-06-30,0.000000,0.937500,0.859375,0.859375,0.797749,43200
1975-07-07,0.000000,0.929688,0.820313,0.921875,0.855767,486400
1975-07-14,0.000000,0.953125,0.867188,0.898438,0.834010,155200
1975-07-21,0.000000,0.929688,0.875000,0.875000,0.812253,83200
1975-07-28,0.000000,0.898438,0.859375,0.875000,0.812253,148800
1975-08-04,0.000000,0.867188,0.757813,0.757813,0.703470,132800
1975-08-11,0.750000,0.750000,0.632813,0.656250,0.609190,68800
1975-08-18,0.625000,0.656250,0.609375,0.625000,0.580181,110400
1975-08-25,0.000000,0.679688,0.593750,0.679688,0.630947,100800
1975-09-01,0.695313,0.734375,0.664063,0.734375,0.681712,28800
1975-09-08,0.703125,0.765625,0.703125,0.703125,0.652703,51200
1975-09-15,0.703125,0.726563,0.695313,0.703125,0.652703,35200
1975-09-22,0.703125,0.726563,0.687500,0.718750,0.667208,48000
1975-09-29,0.703125,0.703125,0.687500,0.703125,0.652703,30400
1975-10-06,0.000000,0.710938,0.671875,0.695313,0.645452,65600
1975-10-13,0.718750,0.718750,0.679688,0.687500,0.638199,73600
1975-10-20,0.000000,0.734375,0.656250,0.726563,0.674461,99200
1975-10-27,0.000000,0.726563,0.687500,0.695313,0.645452,57600
1975-11-03,0.000000,0.695313,0.609375,0.625000,0.580181,94400
1975-11-10,0.000000,0.781250,0.609375,0.750000,0.696217,84800
1975-11-17,0.000000,0.750000,0.710938,0.710938,0.659956,96000
1975-11-24,0.671875,0.710938,0.664063,0.671875,0.623694,48000
1975-12-01,0.000000,0.664063,0.609375,0.609375,0.565676,70400
1975-12-08,0.000000,0.609375,0.578125,0.601563,0.558424,48000
1975-12-15,0.000000,0.648438,0.617188,0.640625,0.594685,52800
1975-12-22,0.640625,0.656250,0.632813,0.640625,0.594685,38400
1975-12-29,0.632813,0.679688,0.632813,0.656250,0.609190,72000
1976-01-05,0.000000,0.765625,0.656250,0.765625,0.710721,209600
